location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar,,,,,,,,
15,8,98.69125374,0.005915775,1,0.036281228,585.7099254,0.170569162,100.5109912,0.82069255,-1.676760766,-46.21565602,0.698337296,,,,,,,,
15,9,73.7081208,0.004689672,1,0.041371931,591.5670247,0.184833391,97.99821644,0.816589087,-1.676760766,-40.52894587,0.663420431,,,,,,,,
16,1,323.9155341,0.028206763,0.83604888,0.686354379,852.84375,0.08,120,0.85,-17.06080481,-24.85713699,1,,,,,,,,
16,2,315.2117001,0.023302647,0.843139002,0.693070265,861.3721875,0.092,117,0.84575,-17.06080481,-24.61627007,0.95,,,,,,,,
16,3,306.2229815,0.01920771,0.85024685,0.69980294,869.9859094,0.1043,114.075,0.84152125,-17.06080481,-24.37944145,0.9025,,,,,,,,
16,4,296.8381414,0.015788438,0.857372467,0.706552448,878.6857685,0.1169075,111.223125,0.837313644,-17.06080481,-24.14655114,0.857375,,,,,,,,
16,5,286.968819,0.012933346,0.864515898,0.713318829,887.4726262,0.129830188,108.4425469,0.833127076,-17.06080481,-23.91750242,0.81450625,,,,,,,,
16,6,276.5451779,0.010549344,0.871677188,0.720102126,896.3473524,0.143075942,105.7314832,0.82896144,-17.06080481,-23.6922017,0.773780938,,,,,,,,
16,7,265.5123432,0.008558702,0.878856381,0.726902381,905.3108259,0.156652841,103.0881961,0.824816633,-17.06080481,-23.47055843,0.735091891,,,,,,,,
16,8,253.827485,0.006896516,0.886053521,0.733719637,914.3639342,0.170569162,100.5109912,0.82069255,-17.06080481,-23.25248494,0.698337296,,,,,,,,
16,9,241.4574329,0.005508591,0.893268655,0.740553936,923.5075735,0.184833391,97.99821644,0.816589087,-17.06080481,-23.03789633,0.663420431,,,,,,,,
16,10,228.3767252,0.004349674,0.900501827,0.747405321,932.7426493,0.199454226,95.54826103,0.812506142,-17.06080481,-22.8267104,0.63024941,,,,,,,,
16,11,214.5660149,0.003381977,0.907753082,0.754273834,942.0700758,0.214440581,93.1595545,0.808443611,-17.06080481,-22.61884747,0.598736939,,,,,,,,
16,12,200.0107679,0.002573951,0.915022464,0.761159519,951.4907765,0.229801596,90.83056564,0.804401393,-17.06080481,-22.41423038,0.568800092,,,,,,,,
16,13,184.7002014,0.001899249,0.92231002,0.768062418,961.0056843,0.245546636,88.5598015,0.800379386,-17.06080481,-22.2127843,0.540360088,,,,,,,,
16,14,168.6264177,0.001335873,0.929615795,0.774982574,970.6157411,0.261685302,86.34580646,0.796377489,-17.06080481,-22.0144367,0.513342083,,,,,,,,
16,15,151.7836997,0.000865454,0.936939835,0.78192003,980.3218985,0.278227434,84.1871613,0.792395602,-17.06080481,-21.81911724,0.487674979,,,,,,,,
16,16,134.1679377,0.000472654,0.944282184,0.78887483,990.1251175,0.29518312,82.08248227,0.788433623,-17.06080481,-21.6267577,0.46329123,,,,,,,,
16,17,115.7761645,0.000144666,0.95164289,0.795847017,1000.026369,0.312562698,80.03042021,0.784491455,-17.06080481,-21.43729189,0.440126669,,,,,,,,
